channel,error,precision,recall,f1,tp,tn,fp,fn,context_ood_rate_window,context_ood_rate_point,score_mode,elapsed_seconds
P-10,,0.07008086253369272,0.8,0.1288723667905824,104.0,4306.0,1380.0,26.0,0.9858645061196345,1.0,counterfactual_successor_memory,104.91594624519348
P-11,,0.8415300546448088,0.6814159292035398,0.7530562347188264,154.0,2996.0,29.0,72.0,0.42058096415327567,0.8557366964011074,counterfactual_successor_memory,96.29134798049927
P-14,,0.015416958654519973,0.36666666666666664,0.029589778076664425,66.0,1421.0,4215.0,114.0,1.0,1.0,counterfactual_successor_memory,67.55664324760437
P-15,,0.009595613433858808,0.7,0.018931710615280595,14.0,1107.0,1445.0,6.0,0.8697692608525616,0.9311819595645412,counterfactual_successor_memory,104.82430839538574
P-2,,0.4427841132520645,0.9191836734693878,0.5976645435244161,1126.0,5283.0,1417.0,99.0,1.0,1.0,counterfactual_successor_memory,67.27470397949219
P-3,,0.9853068280034573,0.8539325842696629,0.9149277688603531,1140.0,6857.0,17.0,195.0,0.9996338784476446,1.0,counterfactual_successor_memory,68.31398630142212
P-4,,1.0,0.5181818181818182,0.6826347305389222,228.0,7059.0,0.0,212.0,0.0,0.0,counterfactual_successor_memory,61.8687539100647
P-7,,0.9230263157894737,0.8503030303030303,0.885173501577287,1403.0,6020.0,117.0,247.0,0.5828615542974781,0.8651598818543726,counterfactual_successor_memory,88.70285320281982
R-1,,0.0,0.0,0.0,0.0,6880.0,0.0,80.0,1.0,1.0,counterfactual_successor_memory,68.36835312843323
S-1,,1.0,0.6935123042505593,0.8190224570673712,310.0,6600.0,0.0,137.0,0.3528156996587031,0.8981126720590322,counterfactual_successor_memory,65.93035197257996
S-2,,0.22727272727272727,1.0,0.37037037037037035,10.0,1499.0,34.0,0.0,0.3318062827225131,0.33830200907323393,counterfactual_successor_memory,19.87175440788269
T-1,,0.021298322392414297,0.09517601043024772,0.034807485993563,146.0,85.0,6709.0,1388.0,0.6515096836280524,0.8521853986551393,counterfactual_successor_memory,67.9030818939209
T-10,,,,,,,,,1.0,1.0,counterfactual_successor_memory,3.555344820022583
T-12,,0.0,0.0,0.0,0.0,2026.0,0.0,120.0,0.5246363209760676,0.7758620689655172,counterfactual_successor_memory,22.188496589660645
T-13,,0.0,0.0,0.0,0.0,1896.0,0.0,250.0,0.4115438761145002,0.7041006523765144,counterfactual_successor_memory,36.07663083076477
T-2,,0.04344602609727165,0.16423766816143498,0.06871482176360225,293.0,106.0,6451.0,1491.0,0.7911361998558731,0.9099628341925429,counterfactual_successor_memory,68.09174370765686
T-3,,0.15268456375838926,1.0,0.264919941775837,182.0,7103.0,1010.0,0.0,0.738768115942029,0.983001808318264,counterfactual_successor_memory,68.51257514953613
T-4,,1.0,0.4411764705882353,0.6122448979591837,30.0,1865.0,0.0,38.0,0.3044838373305527,0.727366787377134,counterfactual_successor_memory,50.211432695388794
T-5,,0.5434782608695652,1.0,0.704225352112676,25.0,1888.0,21.0,0.0,0.0,0.0,counterfactual_successor_memory,72.46200132369995
T-8,,0.45614035087719296,0.78,0.5756457564575646,78.0,1042.0,93.0,22.0,0.6918032786885245,0.9700404858299595,counterfactual_successor_memory,12.472145318984985
T-9,,0.3187919463087248,0.8636363636363636,0.46568627450980393,95.0,499.0,203.0,15.0,1.0,1.0,counterfactual_successor_memory,4.084319353103638
